,marka,model,donanim,motor,yakit,vites,fiyat,websitesi,sil1,sil2
105,Audi,A8 L,3.0 TDI 262 hp quattro tiptronic,3000,Dizel,Otomatik,965248.0,http://www.audi.com.tr/,,
106,Audi,A8 L,4.0 TFSI 435 hp quattro tiptronic,4000,Benzin,Otomatik,1181705.0,http://www.audi.com.tr/,,
107,Audi,A8 L,4.2 TDI 385 hp quattro tiptronic,4200,Dizel,Otomatik,1128707.0,http://www.audi.com.tr/,,
108,Audi,A8 L W12,6.3 FSI 500 hp quattro tiptronic,6300,Benzin,Otomatik,1643186.0,http://www.audi.com.tr/,,
109,Audi,Q2,1.4 Turbo FSI 150 hp (COD) Design S tronic,1400,Benzin,Otomatik,153638.0,http://www.audi.com.tr/,,
110,Audi,Q2,1.4 Turbo FSI 150 hp (COD) Dynamic S tronic,1400,Benzin,Otomatik,149661.0,http://www.audi.com.tr/,,
111,Audi,Q2,1.4 Turbo FSI 150 hp (COD) Sport S tronic,1400,Benzin,Otomatik,153638.0,http://www.audi.com.tr/,,
112,Audi,Q2,1.6 TDI 116 hp Design S tronic,1600,Dizel,Otomatik,161945.0,http://www.audi.com.tr/,,
113,Audi,Q2,1.6 TDI 116 hp Dynamic S tronic,1600,Dizel,Otomatik,157967.0,http://www.audi.com.tr/,,
114,Audi,Q2,1.6 TDI 116 hp Sport S tronic,1600,Dizel,Otomatik,161945.0,http://www.audi.com.tr/,,
115,Audi,Q3,1.4 TFSI 150 hp (COD) S tronic,1400,Benzin,Otomatik,186592.0,http://www.audi.com.tr/,,
116,Audi,Q3,2.0 TDI 184 hp quattro S tronic,2000,Dizel,Otomatik,282815.0,http://www.audi.com.tr/,,
117,Audi,Q5,2.0 TDI 190 hp quattro Design S tronic,2000,Dizel,Otomatik,373992.0,http://www.audi.com.tr/,,
118,Audi,Q5,2.0 TDI 190 hp quattro S tronic,2000,Dizel,Otomatik,373992.0,http://www.audi.com.tr/,,
119,Audi,Q5,2.0 TFSI 230 hp quattro tiptronic,2000,Benzin,Otomatik,363599.0,http://www.audi.com.tr/,,
120,Audi,Q7,2.0 TFSI 252 hp quattro tiptronic,2000,Benzin,Otomatik,486154.0,http://www.audi.com.tr/,,
121,Audi,Q7,3.0 TDI 272 hp quattro tiptronic,3000,Dizel,Otomatik,683638.0,http://www.audi.com.tr/,,
